objectid,fire_name,fire_type,landowner,fuel_model
294128,Gregg 0231,WF,Private,Medium Logging Slash
294129,Jasper 0230,WF,Private,Medium Logging Slash
294130,ANF SFA Experimental Forest C 112 RX,RX,USFS,000
294134,SHNF C 83 RX,RX,USFS,000
294135,DCNF C 19 RX,RX,USFS,000
294150,PARK AV /W 7TH ST,WF,Private,000
294151,ALEXANDRIA AV  EVAL,WF,Private,000
294153,E JARVIS ST /N PERRIS BL,WF,Private,000
294155,LAC-015817,WF,Private,000
294159,LAC-015973,WF,Private,000
294166,Ruby,WF,USFS,000
294169,ANF BU 258 Rx 0114,RX,USFS,000
294170,OSF CPT 102 BB 8 Rx 0114,RX,USFS,000
294172,LOPEZ ST / COX ST,WF,Private,000
294173,SAGE RD  AGUA,WF,Private,000
294174,CALLE TOSCA   THOU,WF,Private,000
294176,S SAN JACINTO AV /E ESPLANADE AV,WF,Private,000
294177,LAC-016302,WF,Private,000
294184,Campbell Hill,WF,Private,000
294185,Saxter,WF,Private,000
294186,LAC-016595,WF,Private,000
294188,Anderson 0241,WF,Private,Medium Logging Slash
294191,Cedar Hollow,WF,Private,Tall Grass (2.5 feet)
294195,Franklin 0242,WF,Private,Timber (Litter and Understory)
294197,6TH AV / COLORADO RIVER RD,WF,Private,000
294200,MORENO VALLEY MALL MOVA,WF,Private,000
294202,LAC-016948,WF,Private,000
294204,FREDERICK ST OFRP  / FREDERICK ST,WF,Private,000
294205,N STATE ST /N RAMONA BL,WF,Private,000
294207,Orlando,WF,BIA,000
294209,TREE,WF,Private,000
294210,Winn 54/55,RX,USFS,000
294211,MP 333,WF,State,000
294212,CREEK,WF,Private,000
294213,QUAD,WF,Private,000
294214,C-13,RX,USFS,000
294215,C-17,RX,USFS,000
294216,RIVER RUN,WF,Private,000
294217,C-23,RX,USFS,000
294218,HY 60  E/ FREDERICK ST OFRP,WF,Private,000
294220,APACHE,WF,Private,000
294221,RIO BONITO,WF,BLM,000
294222,Liberty 0252,WF,Private,Tall Grass (2.5 feet)
294225,FM 3395,WF,Private,000
294226,RIVER RUN 2,WF,BIA,000
294228,JUNIPER FLATS RD / INYO RD,WF,Private,000
294232,PATROON,WF,USFS,000
294233,W RAMSEY ST  BAN,WF,Private,000
294234,Leon 0261,WF,Private,Timber (Litter and Understory)
294235,I 10  E/ WASHINGTON ST ONRP,WF,Private,000
294244,SONORA AV / JACKSON ST,WF,Private,000
